723 0 502 0
726 0 515 0
727 0 519 0
728 0 591 0
728 0 582 0
729 0 611 0
729 0 640 0
730 0 669 0
732 0 683 0
732 0 759 0
733 0 770 0
736 0 791 0
737 0 849 0
737 0 871 0
738 0 941 0
738 0 975 0
740 0 1009 0
740 0 1115 0
741 0 1130 0
742 0 1217 0
743 0 1284 0
745 0 1323 0
745 0 1410 0
746 0 1405 0
746 0 1455 0
746 0 1455 0
746 0 1546 0
747 0 1539 0
747 0 1558 0
747 0 1620 0
747 1 1596 0
747 0 1611 0
747 0 1637 0
747 0 1664 0
747 1 1580 0
747 0 1630 0
747 0 1615 0
747 0 1610 0
747 0 1625 0
747 0 1625 0
747 1 1619 0
747 1 1628 0
747 1 1625 0
747 1 1617 0
747 1 1621 0
747 1 1612 0
747 1 1628 0
747 1 1612 0
747 1 1628 0
747 1 1612 0
747 0 1607 0
747 0 1675 0
747 1825 0 2
747 1826 0 2
748 1829 0 2
748 1812 0 2
748 1813 0 2
748 1822 0 2
748 1836 0 2
748 1846 0 2
748 1848 0 2
748 1875 0 2
748 1876 0 2
748 1883 0 2
748 1885 0 2
748 1872 0 2
748 1922 0 2
748 1906 0 2
748 1959 0 2
749 2005 0 2
749 2032 0 2
749 2015 0 2
749 2065 0 2
750 2055 0 2
750 2090 0 2
750 2027 0 2
750 2021 1 2
751 1979 1 2
751 1888 0 2
751 1835 0 2
752 1742 0 2
753 1721 0 2
753 1694 0 2
753 1635 0 2
753 1575 0 2
753 1480 0 2
754 1254 0 2
754 1187 0 2
754 1103 0 2
754 994 0 2
755 1014 0 2
756 1065 0 2
756 1076 0 2
